dataset,status,source_url,destination,timestamp_utc,archive_or_repo,sha256,size_bytes,extracted_size_bytes,message
dfire,MANUAL_DOWNLOAD_REQUIRED,https://github.com/gaia-solutions-on-demand/DFireDataset,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire,2026-07-11T15:40:53.795668+00:00,DFireDataset repository clone or official archive,,,,Official provider requires browser/license/access flow; not bypassed.
dfire,DOWNLOADED,https://github.com/gaia-solutions-on-demand/DFireDataset,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire,2026-07-11T15:41:16.715734+00:00,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/DFireDataset,,21660225,21660225,Cloning into '/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/DFireDataset'...
dfire,EXISTS,https://github.com/gaia-solutions-on-demand/DFireDataset,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire,2026-07-11T15:42:22.354829+00:00,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/DFireDataset,,21660225,21660225,Existing clone/archive retained.
dfire_images,MANUAL_DOWNLOAD_REQUIRED,https://1drv.ms/u/c/c0bd25b6b048b01d/EbLgD7bES4FDvUN37Grxn8QBF5gIBBc7YV2qklF08GCiBw,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire,2026-07-11T15:42:22.356716+00:00,official D-Fire images/labels archive from OneDrive plus optional split archive,,,,"Official GitHub repo cloned, but actual images/labels are hosted through OneDrive and require manual download if automated access is blocked."
dfire_images,AUTOMATED_DOWNLOAD_BLOCKED,https://1drv.ms/u/c/c0bd25b6b048b01d/EbLgD7bES4FDvUN37Grxn8QBF5gIBBc7YV2qklF08GCiBw,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire,2026-07-11T15:49:20Z,official D-Fire OneDrive image/label archive,,,,OneDrive short link returned HTTP 403 and official shares API returned HTTP 401 BadContextToken; requires browser-authenticated Microsoft/OneDrive session or manual download.
dfire_splits,AUTOMATED_DOWNLOAD_BLOCKED,https://1drv.ms/f/c/c0bd25b6b048b01d/Ema8FFze8mFIlM1Hn81BUUgBE3vnnmK4SQxybS-nHRt2pA?e=6rk0aN,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire,2026-07-11T15:49:20Z,official D-Fire OneDrive split folder,,,,OneDrive official shares API returned HTTP 401 BadContextToken; folder requires browser-authenticated Microsoft/OneDrive session or manual download.
hf_kien_cctv,DOWNLOADED_QUARANTINED,https://huggingface.co/datasets/KienNgyuen/Fire-Smoke-Detection/resolve/main/CCTV%20Smoke%20%26%20Fire%20Emergency%20Detection%20Dataset.zip,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_kien_fire_smoke,2026-07-11T15:56:00Z,CCTV Smoke & Fire Emergency Detection Dataset.zip,7b1a8cbebe6c71d64a7510b88bcfedc7610a0a5e3495704e5307fd4a9eae69d5,339006279,,Downloaded from public HF repo for inspection only. Quarantined: CCTV source has license conflict between cc-by-nc-4.0 metadata and CC BY 4.0 card text; data.yaml also has nc mismatch.
hf_kien_indoor,DOWNLOADED_QUARANTINED,https://huggingface.co/datasets/KienNgyuen/Fire-Smoke-Detection/resolve/main/Indoor%20Fire%20Smoke.zip,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_kien_fire_smoke,2026-07-11T15:56:00Z,Indoor Fire Smoke.zip,f5e4b452bc0e74508366b4ce3f62d7479d1a790a7438a1f0ebee145a216d7b6a,200547120,,Downloaded from public HF repo for inspection only. Roboflow YAML says CC BY 4.0; class names are numeric and semantic mapping is visually inferred pending source confirmation.
firesense_fire_videos,DOWNLOADED,https://zenodo.org/records/836749/files/fire_videos.1406.zip?download=1,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/firesense/fire_videos.1406.zip,2026-07-12T17:54:31.390759+00:00,fire_videos.1406.zip,15bff18ba386d98769bd9d8c992ad6a16af38170eb49c0d8bb7fec8bc0f72982,622676845,990653484,downloaded; extracted
firesense_smoke_videos,DOWNLOADED,https://zenodo.org/records/836749/files/smoke_videos.1407.zip?download=1,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/firesense/smoke_videos.1407.zip,2026-07-12T17:59:58.637913+00:00,smoke_videos.1407.zip,876035a132f81119504e9fa53634d56215dd84b29c986d373bff4ee638b37eea,197589846,236121596,downloaded; extracted
