sample_id,image_path,label_path,width,height,status,is_negative,negative_category,has_fire,has_smoke,class_ids,annotation_valid,sha256,perceptual_hash,data_origin,license_status,provenance_status,included,exclusion_reason
medyoussef_AoF06723,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06723.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06723.txt,1280,720,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,3eb16b635a007bdd6353e7219cae149a7da2f05153b2bbae4dbaae2ac360fa46,ffffe38000000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF06724,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06724.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06724.txt,1270,685,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,3d575c00fa660b59febf3f7c748b6583ac338171b0b5db0e9d84ea6aa22ccd9e,fffffb8000000030,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF06725,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06725.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06725.txt,1267,702,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,6143934eb0bfb7b66f6f171d3087d57615d78135c0b48316db53a49064a6ff49,ffffffe000000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF06726,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06726.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06726.txt,1278,712,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,abc09c6dd90c7bd244e5f8bffd9980088a269e365b581dc0d4fd1d5c905c7de4,ffffc00000000078,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF06727,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06727.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06727.txt,1276,717,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,329dcbc630fe1718c567a7e01bbfea9a8faadf7bbe6f725bd1d407dca99a5c43,ffff01000000030e,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF06728,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06728.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06728.txt,800,450,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,7dca1ff6adab6a4a1a579c8729a410d1160e7b7a9c5d9de9f04102d6a7cfd33f,ffff0e0200000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF06729,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06729.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06729.txt,800,450,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,dd47da8fe519a9841165f14cd781eac067a9a4c7e62d4650dcb3f96cebaaecb7,fffff04000000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF06730,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06730.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06730.txt,800,450,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,5d6ee9a299afa2891f637f279cfcaed15efe7dbd08f7351163397f616dacfde5,ffff3f1f06020200,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF06731,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06731.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06731.txt,800,450,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,5fce393d298f7f45709fe709aa6a7b55916521be97ee0feb5cd330695655f883,ffffff0100000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF06732,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF06732.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF06732.txt,800,450,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,a2be8cfb9f21f5b5ca6b6a27e6662b4f5e228063497611cf8f776dbdddfcf615,ffff1f0600000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
