near_group,sample_id_a,sample_id_b,phash_distance,split_a,split_b
2,hf_kien_indoor_1745_jpg.rf.5239233160bc5c48ac44addc58b41115_9f46ca73fb1f,hf_kien_indoor_1725_jpg.rf.1c5cedfbeb5403d085784176cb71f05a_bf7294c328eb,4,train,train
6,hf_kien_indoor_1745_jpg.rf.5239233160bc5c48ac44addc58b41115_9f46ca73fb1f,hf_kien_indoor_1725_jpg.rf.d707864171fa9b1e146c1730c4b5fd85_dbdd18b92858,4,train,train
7,hf_kien_indoor_1745_jpg.rf.5239233160bc5c48ac44addc58b41115_9f46ca73fb1f,hf_kien_indoor_1727_jpg.rf.8f8efc10246ab34c0ffa9a78f88c1708_f116865703ac,4,train,train
9,hf_kien_indoor_1745_jpg.rf.5239233160bc5c48ac44addc58b41115_9f46ca73fb1f,hf_kien_indoor_1745_jpg.rf.05036fa8dd24a6ab68d56c19e1603193_1ced0907e3ca,4,train,train
11,hf_kien_indoor_1745_jpg.rf.5239233160bc5c48ac44addc58b41115_9f46ca73fb1f,hf_kien_indoor_1745_jpg.rf.6c88f752201bf372c0098340d7c1e7d8_e22172f6a99f,2,train,train
12,hf_kien_indoor_1745_jpg.rf.5239233160bc5c48ac44addc58b41115_9f46ca73fb1f,hf_kien_indoor_1745_jpg.rf.a4ae88b52ea91cb44b5d385e28594a69_51d6694c3ce5,6,train,train
13,hf_kien_indoor_1745_jpg.rf.5239233160bc5c48ac44addc58b41115_9f46ca73fb1f,hf_kien_indoor_1745_jpg.rf.aed01b85da90b573f8afb0fce37b1afe_423843248e0e,2,train,train
15,hf_kien_indoor_1745_jpg.rf.5239233160bc5c48ac44addc58b41115_9f46ca73fb1f,hf_kien_indoor_1746_jpg.rf.6268ee99a4d9625a94db5e3842f76d25_796428bcb526,2,train,train
9832,hf_kien_indoor_1725_jpg.rf.1c5cedfbeb5403d085784176cb71f05a_bf7294c328eb,hf_kien_indoor_1727_jpg.rf.8f8efc10246ab34c0ffa9a78f88c1708_f116865703ac,2,train,train
9835,hf_kien_indoor_1725_jpg.rf.1c5cedfbeb5403d085784176cb71f05a_bf7294c328eb,hf_kien_indoor_1745_jpg.rf.329492dc9cdf24f95aaceb1da73a9bdf_999351d86b81,4,train,train
9836,hf_kien_indoor_1725_jpg.rf.1c5cedfbeb5403d085784176cb71f05a_bf7294c328eb,hf_kien_indoor_1745_jpg.rf.6c88f752201bf372c0098340d7c1e7d8_e22172f6a99f,6,train,train
9838,hf_kien_indoor_1725_jpg.rf.1c5cedfbeb5403d085784176cb71f05a_bf7294c328eb,hf_kien_indoor_1745_jpg.rf.aed01b85da90b573f8afb0fce37b1afe_423843248e0e,6,train,train
9840,hf_kien_indoor_1725_jpg.rf.1c5cedfbeb5403d085784176cb71f05a_bf7294c328eb,hf_kien_indoor_1746_jpg.rf.6268ee99a4d9625a94db5e3842f76d25_796428bcb526,6,train,train
14753,hf_kien_indoor_1725_jpg.rf.9526a3d75fdb22c108233dc125cc5837_37c4b2c3a685,hf_kien_indoor_1725_jpg.rf.c1b145f5339c6d933b2faff150f3ee98_d2b331d3976e,4,train,train
19651,hf_kien_indoor_1725_jpg.rf.ab45cb1c0789b6650c8c35b638fe450b_c80c180b2d5e,hf_kien_indoor_1725_jpg.rf.c7f9dc5992bd6f72beb6162ba72c04ec_98733b95a12a,2,train,train
