sample_id,image_path,label_path,width,height,status,is_negative,negative_category,has_fire,has_smoke,class_ids,annotation_valid,sha256,perceptual_hash,data_origin,license_status,provenance_status,included,exclusion_reason
medyoussef_WEB02772,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/val/images/WEB02772.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/val/labels/WEB02772.txt,1504,730,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,d7b11848ae095b655d3ef1644e4e0ed142cfc846094600d7b094e73369293f40,fcfc737b3c3c1f00,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_WEB10248,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/WEB10248.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/WEB10248.txt,640,360,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,5bc84e491633f3a83288e4e4279d199407fa3aca222f181c1f73dc4e83b62a4b,f8f0f0e0007be1c0,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF07133,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/AoF07133.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/AoF07133.txt,1280,720,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,efbae0ba5c043cf60ffcff2a60f262ce1af510618ea48624602c7736eda6f67d,fe7e5c0080801800,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF03041,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/images/AoF03041.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/labels/AoF03041.txt,1280,720,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,7073214731f025b98745004251265cc31c6426cf363f63a00564a75fae1cccc0,ffffff0000000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF02450,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/images/AoF02450.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/labels/AoF02450.txt,1280,720,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,af83d972da894d8658f51c19856488916e5686d255b91632cf54088201d3c415,ffffffc000000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF02019,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/images/AoF02019.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/labels/AoF02019.txt,1280,720,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,1f126d329241241d20f2810f54416b5fb8e4dffd724866047fe2517570cbb02a,fefe7c4000000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF00340,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/images/AoF00340.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/labels/AoF00340.txt,1280,720,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,f59d5a4bf65b5c3ba4bc915eb34340a638a431338fab90a2df5a069efe02c5e1,ffff9f0703000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_WEB10104,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/WEB10104.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/WEB10104.txt,800,600,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,c86b7133f710ee1dce68ff5c921e7d62cfa98f7a9bd8a124d324ee49acdf958e,dffffffff0000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_hardneg_000000348708,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/images/hardneg_000000348708.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/labels/hardneg_000000348708.txt,383,640,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,a0a54622b4ee5cf059b69a7346407013987fcbefa16fbd71d894f4e3817369d4,0070fefffffc0000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_WEB09842,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/images/WEB09842.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/test/labels/WEB09842.txt,640,360,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,c61edd94299b08bbfe57642906fa1de3e20eb43df6d29a39932c0bce05d34e3f,0f1f3fff7e000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_AoF02398,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/val/images/AoF02398.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/val/labels/AoF02398.txt,1280,720,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,f59edec9a82601e4b917173fdc96bfbf1efd3fe5610d825d5b6ccc6f74d92539,efefe38000000038,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
medyoussef_WEB01819,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/images/WEB01819.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/medyoussef_fire-smoke-hardnegatives-int8_real/fire_smoke_hardnegatives_complete/combined_dataset/train/labels/WEB01819.txt,640,360,CONFIRMED_NEGATIVE,True,unknown,False,False,,True,c733d0da0dc9bf991e6b9f73bfe815bc135ab3417229aa7446bc838f504f5a64,ffffffff3e000000,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
